|-9x + 115| = 2
|-15x + 169| = 26
|9x + 147| = 24
|-10x + 133| = 13
|-18x - 236| = 16
|7x - 121| = 5
|14x - 116| = 38
|-10x + 122| = 8
|15x + 319| = 34
|2x + 14| = 10
|4x + 58| = 14
|-18x + 17| = 35
|-6x - 2| = 46
|3x - 1| = 32
|-15x + 121| = 1
|20x - 338| = 2
|-9x - 22| = 14
|18x - 126| = 18
|-4x + 16| = 32
|-14x + 252| = 0
|-14x + 152| = 12
|3x + 38| = 32
|12x - 270| = 30
|12x - 36| = 0
|-9x + 53| = 10
|17x - 304| = 49
|16x + 208| = 48
|9x - 110| = 20
|-15x + 219| = 36
|12x - 48| = 24
|-2x + 25| = 5
|11x + 147| = 26
|7x - 98| = 42
|-15x - 196| = 14
|-20x + 196| = 16
|4x + 6| = 10
|17x - 95| = 44
|-1x - 2| = 8
|9x - 8| = 26
|-11x + 78| = 32
|-20x - 45| = 5
|4x + 22| = 38
|13x - 201| = 46
|-14x + 46| = 38
|12x - 67| = 43
|-20x - 296| = 44
|1x - 26| = 28
|-10x + 85| = 35
|-1x - 56| = 45
|8x - 111| = 39
|6x + 98| = 22
|-4x + 68| = 8
|6x - 46| = 28
|11x - 49| = 38
|-14x + 13| = 41
|-2x + 4| = 34
|-18x + 314| = 46
|-12x - 217| = 11
|-5x - 1| = 44
|-14x + 166| = 16
|10x + 14| = 26
|-3x - 23| = 16
|-14x + 227| = 39
|-17x + 255| = 17
|2x - 41| = 35
|6x + 134| = 38
|10x - 139| = 21
|20x + 228| = 8
|-14x - 238| = 42
|16x - 182| = 6
|15x - 258| = 3
|-18x - 349| = 25
|14x - 71| = 43
|18x - 19| = 35
|-10x - 110| = 10
|-10x + 1| = 49
|5x + 27| = 28
|4x + 20| = 20
|-18x + 73| = 19
|-19x + 318| = 14
|-2x - 30| = 4
|12x - 229| = 1
|-18x - 269| = 19
|-6x + 7| = 5
|-15x + 187| = 37
|-14x + 72| = 40
|-10x - 52| = 32
|-4x - 90| = 42
|-19x - 359| = 2
|15x + 41| = 26
|8x + 185| = 41
|-7x + 18| = 4
|1x - 61| = 45
|-5x + 47| = 13
|-2x - 33| = 17
|2x - 50| = 34
|-7x + 92| = 48
|14x - 35| = 7
|-10x + 229| = 49
|-12x + 50| = 38
|-5x - 42| = 2
|-10x + 55| = 35
|5x - 115| = 30
|-16x + 232| = 24
|2x + 19| = 13
|-8x + 9| = 15
|17x - 41| = 7
|-13x - 154| = 41
|4x - 25| = 9
|14x - 169| = 43
|-19x + 51| = 25
|-7x - 61| = 12
|8x + 64| = 48
|11x - 103| = 29
|-3x + 0| = 18
|1x + 31| = 38
|12x - 156| = 12
|-19x - 216| = 12
|-4x - 43| = 9
|14x + 243| = 19
|-18x + 80| = 44
|2x - 18| = 42
|17x - 100| = 19
|15x + 279| = 24
|1x + 40| = 30
|10x + 86| = 36
|15x + 251| = 41
|-7x + 63| = 42
|7x - 164| = 31
|-5x + 31| = 31
|10x - 116| = 24
|8x - 7| = 39
|-18x - 6| = 6
|-13x + 3| = 10
|-19x + 355| = 6
|-12x - 178| = 46
|14x - 92| = 34
|3x + 83| = 44
|-8x + 168| = 48
|-2x - 13| = 7
|-12x - 244| = 28
|-9x + 58| = 31
|-17x - 67| = 50
|3x + 14| = 13
|-20x + 113| = 7
|10x - 142| = 38
|19x - 108| = 44
|15x + 142| = 22
|10x - 66| = 36
|-1x - 36| = 49
|13x + 22| = 22
|-12x + 192| = 0
|-17x - 96| = 40
|-5x - 25| = 35
|14x - 6| = 48
|-9x - 156| = 39
|2x - 41| = 25
|17x - 14| = 37
|-10x + 226| = 26
|-19x - 211| = 17
|17x - 160| = 41
|6x - 8| = 8
|2x - 69| = 49
|6x - 13| = 47
|8x - 74| = 42
|-12x - 121| = 11
|-14x - 8| = 6
|8x + 136| = 24
|4x + 61| = 41
|1x + 34| = 48
|1x - 7| = 9
|-12x - 257| = 17
|-19x + 10| = 28
|-20x + 22| = 42
|-20x - 33| = 47
|-9x - 101| = 38
|-5x - 108| = 23
|-15x - 266| = 34
|-12x + 276| = 48
|1x + 10| = 8
|-9x + 5| = 31
|12x - 161| = 19
|2x + 30| = 46
|-9x + 98| = 10
|12x - 60| = 0
|-19x + 89| = 44
|-1x - 50| = 39
|10x + 32| = 32
|11x + 134| = 42
|20x - 138| = 2
|-15x - 195| = 30
|19x + 240| = 7
|6x + 45| = 27
|16x - 208| = 16
|1x + 45| = 40
|1x - 18| = 2
|-13x - 15| = 11
|-12x - 11| = 11
|12x - 164| = 4
|6x - 23| = 31
|-7x + 123| = 11
|-8x - 190| = 46
|-11x - 167| = 35
|-15x + 24| = 24
|16x - 73| = 41
|-10x + 175| = 15
|11x - 230| = 43
|6x - 89| = 47
|4x + 13| = 35
|8x + 38| = 42
|6x - 143| = 41
|9x - 85| = 40
|6x + 90| = 6
|-10x + 90| = 50
|-20x + 43| = 3
|6x + 17| = 49
|1x - 7| = 6
|-14x + 125| = 41
|2x - 77| = 43
|-20x + 362| = 2
|-12x + 121| = 1
|-2x + 16| = 44
|-3x - 4| = 26
|-5x - 21| = 1
|16x - 177| = 49
|-10x - 93| = 17
|20x + 20| = 0
|-14x + 254| = 26
|3x - 64| = 49
|12x - 222| = 6
|-11x + 168| = 14
|-17x - 48| = 3
|-19x - 314| = 9
|-19x + 389| = 9
|-2x - 23| = 1
|18x + 361| = 19
|-4x + 50| = 50
|-16x + 66| = 14
|-14x - 264| = 12
|-19x + 405| = 44
|15x + 205| = 5
|-13x + 166| = 29
|5x - 6| = 6
|2x - 36| = 10
|-9x + 165| = 39
|20x - 67| = 33
|-4x + 98| = 18
|10x + 63| = 3
|-16x + 247| = 41
|18x + 380| = 38
|-11x - 199| = 12
|-15x - 27| = 18
|3x + 38| = 44
|1x + 5| = 8
|-7x + 149| = 37
|-6x - 97| = 13
|13x - 260| = 39
|3x + 31| = 7
|7x + 45| = 32
|-18x - 257| = 49
|-10x - 230| = 40
|19x + 325| = 36
|5x - 81| = 6
|18x + 151| = 43
|5x + 52| = 48
|19x - 110| = 34
|-8x + 54| = 50
|10x + 192| = 22
|-13x + 89| = 24
|10x - 84| = 6
|2x + 15| = 27
|5x - 46| = 14
|-2x + 21| = 9
|14x - 77| = 21
|-18x + 152| = 10
|10x - 134| = 14
|-3x - 52| = 34
|-9x - 73| = 37
|1x + 29| = 40
|-5x - 54| = 19
|-12x - 104| = 20
|-4x - 65| = 49
|12x + 91| = 41
|4x + 36| = 0
|15x + 16| = 14
|-6x + 110| = 50
|-10x - 86| = 46
|16x + 96| = 0
|-14x + 166| = 12
|-15x - 85| = 10
|-7x - 71| = 15
|-14x + 217| = 7
|-6x - 14| = 2
|-18x - 19| = 1
|-13x - 262| = 15
|9x + 63| = 36
|-1x + 9| = 13
|2x - 26| = 46
|-4x + 77| = 9
|3x - 48| = 3
|-10x - 187| = 47
|2x + 37| = 39
|5x - 22| = 28
|7x - 9| = 30
|-15x - 84| = 21
|3x + 5| = 20
|-17x - 266| = 28
|-6x + 3| = 9
|-11x - 205| = 40
|5x + 56| = 6
|-3x + 22| = 13
|5x - 31| = 46
|3x - 72| = 30
|9x - 10| = 10
|12x + 85| = 35
|16x - 157| = 29
|11x + 226| = 28
|-8x + 132| = 28
|-11x + 152| = 31
|-12x - 141| = 33
|-14x - 316| = 36
|-2x - 14| = 26
|8x + 73| = 25
|15x - 180| = 0
|-17x - 246| = 43
|-15x - 35| = 25
|18x + 338| = 14
|15x + 12| = 42
|-17x + 104| = 19
|7x + 145| = 19
|-10x - 107| = 33
|14x + 70| = 0
|1x + 36| = 18
|11x - 77| = 11
|-17x + 381| = 41
|-11x + 28| = 38
|2x - 8| = 28
|-17x - 162| = 43
|7x - 53| = 46
|7x + 99| = 36
|10x - 144| = 44
|5x + 7| = 7
|5x - 17| = 2
|-14x - 168| = 28
|10x - 24| = 14
|-9x - 132| = 6
|3x - 13| = 17
|9x + 228| = 48
|5x + 93| = 23
|-14x + 228| = 38
|-19x - 62| = 33
|-18x - 69| = 33
|-13x + 152| = 4
|-9x + 118| = 17
|10x + 136| = 14
|-19x - 68| = 11
|-6x + 110| = 44
|6x - 51| = 21
|-8x + 13| = 19
|-14x + 222| = 16
|-6x - 99| = 33
|15x + 98| = 37
|9x + 56| = 7
|4x - 9| = 27
|-11x - 135| = 3
|-13x + 139| = 30
|2x + 66| = 48
|-19x - 321| = 21
|-13x - 274| = 14
|-18x + 183| = 3
|12x - 233| = 5
|-19x + 368| = 7
|11x - 162| = 25
|-14x + 204| = 22
|-13x - 68| = 10
|-20x - 199| = 1
|-18x + 225| = 45
|-19x - 111| = 35
|-1x + 11| = 21
|-16x + 118| = 42
|19x + 204| = 14
|12x + 152| = 32
|14x + 221| = 17
|3x + 89| = 38
|6x - 98| = 22
|3x - 45| = 21
|-8x - 57| = 7
|-5x + 38| = 38
|-15x + 250| = 40
|18x - 301| = 13
|13x - 209| = 25
|9x - 195| = 33
|13x + 104| = 39
|-11x + 118| = 36
|-20x - 271| = 11
|-15x - 293| = 38
|8x - 67| = 29
|16x + 219| = 21
|-1x - 5| = 10
|9x + 152| = 8
|-20x - 137| = 43
|7x + 39| = 25
|-8x + 108| = 12
|19x - 76| = 38
|9x - 98| = 28
|-16x - 324| = 4
|-16x - 103| = 7
|5x - 49| = 14
|14x + 223| = 13
|-14x - 104| = 22
|4x - 19| = 17
|4x + 28| = 28
|-7x - 36| = 15
|20x + 394| = 14
|5x + 6| = 14
|-20x - 43| = 17
|19x - 408| = 28
|19x - 136| = 35
|3x - 9| = 45
|8x - 118| = 42
|5x + 94| = 49
|-20x + 103| = 23
|16x - 78| = 50
|-3x - 87| = 30
|-9x - 139| = 23
|-10x + 135| = 25
|-19x + 211| = 17
|17x - 181| = 11
|-9x - 108| = 27
|12x + 96| = 48
|-4x + 83| = 31
|-12x + 95| = 47
|12x + 4| = 44
|-2x + 7| = 3
|-18x + 210| = 30
|19x - 185| = 14
|11x + 38| = 38
|-12x - 168| = 24
|-17x + 58| = 41
|-16x + 109| = 3
|9x + 55| = 8
|11x + 8| = 36
|4x - 81| = 5
|-9x + 87| = 42
|-14x - 182| = 42
|-12x + 27| = 45
|-20x - 301| = 41
|-1x + 50| = 30
|-1x - 32| = 47
|-2x + 17| = 17
|-9x - 2| = 16
|6x - 49| = 1
|-14x + 92| = 22
|-1x + 48| = 50
|5x - 33| = 8
|16x - 341| = 37
|-16x - 252| = 20
|-15x + 332| = 47
|15x - 21| = 39
|-1x - 50| = 44
|13x - 7| = 19
|-15x - 315| = 30
|-17x - 337| = 31
|-13x - 50| = 37
|-12x - 42| = 42
|20x + 165| = 5
|12x + 14| = 26
|4x + 43| = 19
|-3x - 35| = 11
|14x + 109| = 25
|-9x - 207| = 27
|-19x + 373| = 12
|-5x - 54| = 34
|4x - 52| = 0
|9x - 84| = 39
|-3x + 88| = 49
|5x - 135| = 40
|15x + 156| = 36
|15x - 5| = 35
|-12x - 22| = 2
|15x - 249| = 39
|16x + 26| = 6
|20x + 133| = 13
|13x - 235| = 12
|19x + 410| = 30
|-13x + 49| = 10
|8x + 62| = 46
|-9x - 82| = 46
|-7x - 115| = 45
|19x - 376| = 4
|-9x + 83| = 7
|14x + 17| = 11
|7x - 146| = 20
|-18x - 221| = 13
|16x + 150| = 42
|-5x - 10| = 10
|-1x - 51| = 42
|-6x - 40| = 40
|7x - 57| = 34
|14x - 106| = 36
|-20x + 166| = 6
|-2x + 63| = 27
|-19x - 216| = 26
|-6x - 18| = 24
|4x + 29| = 41
|2x + 83| = 43
|16x - 225| = 31
|-5x + 119| = 19
|12x + 8| = 40
|4x - 100| = 36
|7x + 113| = 36
|-14x + 100| = 40
|-7x + 56| = 42
|-11x + 92| = 4
|7x - 18| = 4
|-10x - 141| = 41
|3x - 56| = 17
|1x - 38| = 50
|4x - 37| = 37
|-8x + 62| = 46
|8x - 111| = 39
|15x + 171| = 24
|9x + 59| = 41
|1x - 17| = 10
|-15x + 51| = 36
|20x - 76| = 16
|-17x + 8| = 26
|-13x + 209| = 38
|-12x + 181| = 1
|15x + 24| = 36
|13x - 114| = 23
|1x - 31| = 12
|6x - 144| = 48
|18x + 277| = 25
|17x + 333| = 44
|5x + 19| = 26
|12x + 124| = 4
|7x - 161| = 21
|-4x - 32| = 20
|-5x - 38| = 43
|-16x - 47| = 31
|-10x + 178| = 18
|-15x - 14| = 14
|4x - 22| = 2
|16x - 225| = 15
|6x + 142| = 40
|-15x + 129| = 6
|-16x + 24| = 8
|11x + 4| = 37
|-4x + 6| = 30
|-8x + 13| = 13
|6x - 25| = 35
|10x - 170| = 50
|-6x + 18| = 0
|10x + 111| = 11
|6x - 7| = 47
|-7x - 10| = 46
|-16x - 155| = 21
|-2x + 3| = 15
|19x + 130| = 3
|19x - 233| = 14
|1x - 44| = 25
|-4x + 77| = 37
|-13x - 128| = 41
|4x - 40| = 40
|1x + 11| = 26
|-4x + 84| = 36
|11x + 127| = 16
|-14x - 68| = 16
|-14x + 63| = 35
|5x - 24| = 1
|-15x + 198| = 18
|2x - 35| = 41
|-1x - 35| = 40
|17x - 217| = 13
|14x - 257| = 9
|1x - 3| = 4
|1x + 37| = 28
|-4x + 14| = 46
|19x - 3| = 41
|5x + 60| = 15
|-5x + 71| = 19
|-13x - 142| = 1
|10x - 119| = 41
|-7x + 123| = 4
|-18x + 264| = 12
|1x - 11| = 29
|-18x - 389| = 29
|8x + 114| = 10
|-15x - 125| = 5
|15x - 307| = 37
|20x + 52| = 8
|9x - 130| = 14
|2x + 9| = 7
|11x - 154| = 44
|-15x - 150| = 15
|18x + 118| = 10
|-4x + 29| = 29
|15x - 318| = 48
|14x + 59| = 39
|-18x - 288| = 0
|-11x + 86| = 9
|-16x + 136| = 40
|17x + 193| = 6
|18x + 196| = 20
|-13x - 184| = 37
|2x - 14| = 22
|9x + 91| = 44
|19x - 402| = 22
|6x + 118| = 40
|20x + 235| = 45
|-16x + 127| = 15
|3x - 13| = 25
|-7x - 5| = 40
|17x + 50| = 1
|-8x + 47| = 47
|19x - 133| = 19
|-13x - 114| = 23
|1x + 7| = 20
|-11x + 6| = 27
|19x - 180| = 28
|-9x + 179| = 35
|-6x - 30| = 18
|-7x + 133| = 42
|-19x - 176| = 5
|20x - 189| = 9
|4x - 23| = 43
|7x + 44| = 44
|4x - 68| = 12
|14x - 192| = 24
|-10x + 175| = 45
|-15x - 131| = 19
|-10x + 98| = 42
|8x + 47| = 39
|14x - 260| = 50
|7x - 94| = 18
|9x + 163| = 19
|14x + 277| = 3
|-3x - 37| = 46
|-17x - 227| = 40
|5x - 118| = 48
|15x + 27| = 48
|-5x - 112| = 12
|13x + 168| = 14
|-3x + 50| = 44
|-14x - 103| = 37
|-3x - 24| = 21
|16x - 65| = 17
|-10x + 89| = 21
|-4x - 81| = 49
|-6x + 35| = 1
|18x + 303| = 33
|-17x + 356| = 50
|15x + 43| = 28
|5x - 15| = 35
|7x - 52| = 46
|-2x - 34| = 16
|-1x - 39| = 20
|-18x - 133| = 11
|-10x + 194| = 6
|14x - 175| = 49
|-15x + 155| = 40
|7x + 41| = 43
|-12x + 288| = 48
|-6x - 109| = 25
|-11x + 226| = 28
|-11x + 81| = 26
|3x + 47| = 44
|12x + 129| = 21
|15x + 80| = 40
|2x - 52| = 38
|-4x - 13| = 31
|17x - 297| = 9
|11x - 25| = 25
|16x - 112| = 48
|19x + 130| = 41
|2x - 5| = 1
|17x + 302| = 38
|-3x + 32| = 17
|-13x - 276| = 42
|13x - 256| = 4
|20x + 223| = 3
|4x - 121| = 49
|16x + 29| = 19
|-12x - 117| = 39
|16x - 272| = 0
|-14x + 310| = 30
|-16x - 87| = 9
|-11x + 171| = 49
|16x - 93| = 13
|-2x + 6| = 30
|-3x + 67| = 37
|8x + 190| = 30
|-18x - 141| = 39
|15x - 293| = 8
|14x - 80| = 46
|-8x - 10| = 26
|4x + 8| = 20
|10x + 108| = 28
|-5x + 19| = 29
|20x - 20| = 40
|-4x - 30| = 26
|-11x - 59| = 26
|-18x + 165| = 33
|6x - 58| = 26
|-17x + 114| = 22
|-20x - 208| = 48
|-9x + 19| = 44
|1x - 47| = 28
|4x + 75| = 31
|-6x + 94| = 20
|-15x + 295| = 40
|-4x - 29| = 3
|-11x + 177| = 45
|18x - 281| = 25
|-18x - 32| = 22
|16x + 207| = 49
|-2x + 46| = 30
|11x + 169| = 40
|18x + 308| = 20
|16x - 281| = 39
|-20x + 275| = 15
|-18x + 67| = 5
|-7x - 8| = 36
|16x + 27| = 11
|-17x + 166| = 13
|5x - 68| = 22
|-5x + 5| = 10
|7x + 47| = 9
|-16x + 186| = 38
|-9x - 58| = 5
|17x + 305| = 35
|-19x + 180| = 28
|-10x + 27| = 47
|1x + 38| = 32
|7x - 105| = 49
|2x - 30| = 40
|13x + 100| = 4
|-17x - 24| = 7
|-2x - 54| = 40
|13x + 47| = 5
|18x - 44| = 26
|1x - 12| = 0
|4x + 113| = 37
|-19x + 159| = 45
|-1x + 13| = 6
|15x + 72| = 33
|13x - 92| = 27
|18x - 29| = 25
|19x - 10| = 28
|5x + 12| = 47
|18x - 153| = 27
|12x - 139| = 43
|-10x + 161| = 39
|-18x - 189| = 9
|12x + 229| = 49
|-4x - 45| = 35
|3x + 8| = 7
|6x - 136| = 28
|1x - 54| = 48
|-7x - 117| = 12
|17x - 160| = 7
|2x + 12| = 18
|-11x + 88| = 0
|6x + 56| = 26
|-19x + 48| = 29
|15x + 48| = 27
|-18x - 134| = 8
|-19x - 202| = 7
|16x - 241| = 17
|-5x + 84| = 34
|20x - 234| = 46
|-13x + 203| = 34
|-11x + 152| = 20
|4x + 70| = 38
|17x - 144| = 26
|-2x + 31| = 43
|6x - 79| = 23
|-19x + 293| = 49
|1x + 23| = 4
|-13x + 219| = 2
|-6x - 36| = 6
|16x - 262| = 22
|1x - 20| = 19
|8x - 29| = 13
|9x - 169| = 43
|-14x + 125| = 27
|-18x - 326| = 38
|14x + 15| = 29
|10x + 222| = 22
|-12x + 120| = 12
|-13x + 190| = 18
|11x - 83| = 5
|-8x + 73| = 15
|-8x + 161| = 25
|13x - 191| = 22
|-18x + 55| = 1
|14x - 93| = 5
|-7x - 107| = 19
|-7x - 60| = 24
|7x + 76| = 6
|8x + 146| = 50
|6x + 50| = 34
|-10x - 80| = 30
|-16x - 73| = 7
|-7x + 76| = 36
|-1x + 5| = 8
|-19x - 240| = 50
|-1x + 29| = 10
|-13x + 155| = 14
|-9x + 58| = 4
|-2x - 26| = 8
|10x - 34| = 14
|-14x + 127| = 13
|-20x + 111| = 9
|-20x - 373| = 13
|10x + 9| = 29
|2x - 20| = 12
|-14x - 245| = 7
|-14x + 155| = 1
|-1x - 19| = 22
|-6x - 120| = 6
|-1x + 19| = 1
|8x - 116| = 44
|6x + 17| = 35
|5x - 30| = 45
|-18x - 244| = 28
|16x - 227| = 29
|-7x - 112| = 21
|19x + 388| = 8
|16x - 195| = 3
|-1x - 11| = 9
|15x + 290| = 5
|4x - 50| = 38
|-20x - 167| = 13
|-10x + 124| = 4
|-14x - 255| = 31
|-11x - 14| = 14
|-3x - 85| = 49
|6x - 14| = 34
|6x + 94| = 14
|-10x - 205| = 45
|-4x + 35| = 39
|12x + 168| = 48
|-12x - 23| = 13
|-5x + 26| = 36
|8x - 53| = 3
|-20x - 43| = 23
|-6x + 112| = 10
|19x - 359| = 21
|8x - 2| = 22
|5x + 74| = 39
|-11x - 104| = 27
|8x + 119| = 15
|-17x - 318| = 22
|15x - 197| = 2
|4x + 2| = 6
|-3x + 5| = 7
|-17x - 143| = 41
|-11x + 248| = 39
|-19x + 63| = 44
|-4x - 12| = 48
|3x - 38| = 26
|6x + 72| = 36
|19x + 367| = 13
|-4x + 74| = 10
|10x - 211| = 41
|-11x - 13| = 24
|-13x + 97| = 46
|-15x + 167| = 32
|-4x + 91| = 47
|5x - 101| = 41
|10x + 17| = 37
|-1x + 37| = 41
|12x - 24| = 0
|1x - 64| = 50
|11x + 42| = 35
|6x - 106| = 34
|-8x - 130| = 10
|-17x + 242| = 21
|-2x + 17| = 41
|-10x + 192| = 12
|9x + 104| = 50
|-15x + 241| = 46
|8x + 210| = 50
|-6x + 63| = 15
|11x - 101| = 9
|11x - 193| = 6
|14x - 59| = 17
|-13x - 253| = 19
|-7x + 87| = 11
|9x + 63| = 45
|3x + 67| = 40
|11x + 166| = 1
|13x - 86| = 44
|2x - 2| = 10
|6x - 35| = 49
|-5x + 77| = 12
|5x + 0| = 20
|20x - 366| = 14
|-5x - 47| = 13
|17x + 33| = 18
|18x - 278| = 46
|16x + 368| = 48
|-3x + 79| = 19
|-6x + 49| = 35
|10x + 72| = 2
|-20x - 267| = 27
|2x + 48| = 40
|18x - 86| = 32
|15x - 37| = 23
|-11x - 81| = 37
|-20x - 204| = 44
|-13x - 73| = 34
|-14x + 81| = 3
|12x + 40| = 32
|-5x + 30| = 10
|9x + 44| = 44
|2x - 24| = 40
|-13x - 208| = 13
|-18x - 120| = 30
|-12x + 21| = 27
|-13x + 10| = 23
|-10x - 85| = 5
|-19x - 72| = 42
|-13x + 245| = 24
|10x - 152| = 42
|3x - 70| = 25
|-7x - 30| = 37
|-3x - 57| = 27
|4x + 45| = 23
|10x - 70| = 50
|-2x - 37| = 31
|-5x + 4| = 44
|-20x + 333| = 47
|14x + 317| = 37
|7x + 8| = 13
|17x - 50| = 16
|-2x + 23| = 25
|10x + 81| = 9
|-7x + 115| = 45
|16x + 182| = 38
|-20x + 223| = 23
|8x + 9| = 15
|10x - 197| = 17
|-4x + 3| = 9
|4x + 44| = 16
|-3x - 64| = 28
|-3x + 97| = 49
|-18x + 291| = 33
|10x + 94| = 44
|-18x - 138| = 48
|-14x + 98| = 0
|-5x + 7| = 27
|1x + 10| = 8
|19x - 313| = 10
|-6x + 31| = 11
|16x + 139| = 5
|16x - 235| = 21
|-5x + 60| = 25
|-9x + 91| = 17
|-13x + 190| = 18
|7x - 112| = 14
|11x - 22| = 11
|16x + 94| = 18
|10x - 85| = 35
|15x + 36| = 6
|8x - 64| = 24
|-6x + 1| = 31
|-14x + 260| = 6
|-12x + 233| = 29
|20x - 374| = 34
|-10x - 132| = 32
|13x - 236| = 15
|-13x - 231| = 49
|8x + 130| = 42
|-5x + 62| = 12
|-14x + 87| = 11
|6x - 102| = 12
|-5x + 39| = 36
|-5x + 33| = 7
|7x - 58| = 30
|-7x + 144| = 11
|1x - 8| = 0
|13x - 60| = 47
|20x - 237| = 43
|-11x - 185| = 24
|11x - 28| = 38
|20x - 12| = 8
|-6x + 103| = 7
|4x + 5| = 37
|-9x - 138| = 15
|9x - 18| = 45
|9x + 71| = 44
|-20x - 405| = 25
|-5x - 18| = 3
|5x - 20| = 0
|-8x - 29| = 27
|5x + 26| = 26
|1x + 14| = 22
|2x - 53| = 35
|-14x + 241| = 31
|7x + 62| = 36
|5x - 104| = 44
|16x + 166| = 22
|-6x + 0| = 0
|-20x + 363| = 17
|18x + 127| = 37
|6x - 46| = 22
|-15x - 315| = 15
|6x + 98| = 2
|-14x - 243| = 19
|3x + 15| = 0
|-16x + 236| = 28
|-12x - 147| = 27
|11x - 182| = 50
|-16x + 232| = 8
|-2x - 71| = 33
|-13x - 98| = 46
|-7x + 62| = 13
|20x - 245| = 25
|13x - 192| = 23
|-12x - 181| = 25
|3x - 48| = 9
|-2x - 19| = 5
|-8x - 49| = 1
|1x + 25| = 44
|-16x - 145| = 17
|-2x + 53| = 37
|-7x - 56| = 21
|-10x - 205| = 35
|-10x - 65| = 45
|17x + 73| = 5
|20x + 411| = 11
|1x - 29| = 12
|-14x - 99| = 13
|17x + 183| = 30
|2x + 23| = 21
|11x - 28| = 17
|-19x + 352| = 28
|1x - 29| = 28
|7x + 164| = 24
|-15x - 36| = 39
|2x - 26| = 24
|4x - 99| = 19
|7x - 22| = 50
|-15x - 96| = 6
|13x + 82| = 35
|-7x - 151| = 11
|1x + 44| = 36
|8x + 163| = 3
|19x + 62| = 24
|-20x - 211| = 29
|7x - 25| = 24
|5x - 76| = 4
|-8x + 56| = 24
|9x - 118| = 1
|3x - 8| = 34
|5x + 42| = 27
|15x - 238| = 43
|-6x - 142| = 22
|-19x - 170| = 37
|-8x + 140| = 12
|-15x - 55| = 20
|17x - 269| = 37
|11x + 242| = 33
|7x + 23| = 30
|1x - 31| = 25
|15x + 45| = 30
|5x - 18| = 38
|-14x - 21| = 49
|7x + 91| = 49
|-3x - 31| = 16
|16x - 250| = 6
|6x - 147| = 27
|7x - 17| = 46
|-9x + 220| = 40
|12x - 37| = 13
|-14x + 124| = 16
|19x - 337| = 24
|-14x - 106| = 8
|-2x + 5| = 31
|2x - 59| = 27
|9x + 62| = 8
|-2x - 89| = 49
|4x + 16| = 12
|19x - 394| = 14
|17x + 261| = 45
|-19x + 23| = 4
|-1x + 21| = 18
|-19x - 216| = 26
|4x + 71| = 31
|20x + 204| = 24
|-4x - 22| = 6
|-2x - 10| = 18
|12x - 128| = 4
|-16x - 182| = 42
|5x - 131| = 46
|-10x + 16| = 46
|11x + 36| = 3
|-12x - 39| = 39
|5x + 21| = 41
|-14x + 127| = 27
|-20x + 130| = 30
|1x - 17| = 17
|-11x + 57| = 46
|6x - 130| = 46
|9x + 109| = 37
|4x + 100| = 20
|-5x - 1| = 41
|-5x + 5| = 5
|-4x + 30| = 50
|10x + 173| = 3
|16x - 9| = 9
|13x - 42| = 29
|11x + 29| = 15
|20x + 175| = 45
|14x - 214| = 24
|17x - 307| = 1
|-17x + 238| = 34
|-11x - 58| = 14
|-15x + 247| = 22
|-11x + 178| = 35
|16x + 121| = 25
|8x + 94| = 10
|-14x - 37| = 9
|19x - 314| = 47
|-7x - 23| = 30
|6x - 90| = 6
|-3x + 78| = 48
|-14x - 115| = 11
|-14x - 140| = 42
|-11x + 34| = 10
|11x - 180| = 40
|17x + 170| = 17
|-10x - 94| = 14
|-17x - 13| = 38
|15x - 228| = 48
|6x + 37| = 23
|-1x - 52| = 37
|12x - 45| = 39
|-3x - 6| = 6
|-7x - 20| = 36
|-5x + 81| = 16
|4x + 35| = 5
|-16x - 132| = 4
|-7x - 154| = 21
|11x + 104| = 39
|-17x + 125| = 45
|-1x + 52| = 33
|-6x - 55| = 43
|20x + 38| = 42
|17x + 346| = 40
|4x + 5| = 5
|-8x - 49| = 47
|9x - 101| = 29
|-6x + 44| = 20
|14x + 177| = 47
|15x + 48| = 3
|3x - 12| = 39
|10x + 82| = 42
|2x + 17| = 7
|-17x - 216| = 12
|-2x + 49| = 25
|5x + 135| = 45
|1x + 23| = 4
|-15x - 276| = 6
|-17x - 16| = 50
|-13x + 114| = 10
|-17x + 239| = 1
|1x - 22| = 6
|8x + 96| = 8
|-2x + 9| = 19
|-9x - 128| = 34
|-6x - 42| = 0
|3x + 63| = 30
|-13x + 235| = 25
|11x - 225| = 49
|-5x + 6| = 14
|13x - 78| = 39
|-12x + 104| = 28
|6x - 3| = 45
|-19x - 233| = 24
|17x + 135| = 18
|-11x + 189| = 35
|9x + 122| = 4
|9x - 178| = 43
|12x + 32| = 8
|-18x + 259| = 11
|-16x + 7| = 25
|-1x + 60| = 41
|-2x - 16| = 40
|2x - 39| = 49
|9x - 63| = 45
|-10x - 134| = 16
|-10x - 126| = 6
|2x + 14| = 14
|-18x - 3| = 15
|-14x + 170| = 12
|-6x + 70| = 26
|12x - 174| = 42
|-10x - 70| = 20
|2x - 3| = 17
|17x + 237| = 50
|16x - 55| = 9
|-7x + 47| = 26
|13x - 127| = 36
|-18x - 348| = 6
|16x + 138| = 10
|1x - 11| = 1
|4x + 48| = 12
|-14x - 251| = 15
|-20x - 52| = 48
|-11x - 26| = 48
|-19x + 262| = 15
|10x - 134| = 34
|5x - 41| = 26
